file,Municipal_Name,GEO_ID,County,RPC_Name,RPC,FIPS6
Caledonia_Waterford.geojson,Waterford,5000577125,Caledonia,Northeastern Vermont Development Association,NVDA,5080
Chittenden_Bolton.geojson,Bolton,5000706550,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7005
Chittenden_BuelsGore.geojson,BuelsGore,5000710300,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7010
Chittenden_Burlington.geojson,Burlington,5000710675,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7015
Chittenden_Charlotte.geojson,Charlotte,5000713300,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7020
Chittenden_Colchester.geojson,Colchester,5000714875,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7025
Chittenden_Essex.geojson,Essex,5000724175,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7030
Chittenden_EssexJunction.geojson,Essex Junction,5000724400,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7035
Chittenden_Hinesburg.geojson,Hinesburg,5000733475,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7040
Chittenden_Huntington.geojson,Huntington,5000734600,Chittenden,Chittenden County Regional Planning Commission,CCRPC,
Chittenden_Jericho.geojson,Jericho,5000736700,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7045
Chittenden_Milton.geojson,Milton,5000745250,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7050
Chittenden_Richmond.geojson,Richmond,5000759275,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7055
Chittenden_SaintGeorge.geojson,Saint George,5000762050,Chittenden,Chittenden County Regional Planning Commission,CCRPC,
Chittenden_Shelburne.geojson,Shelburne,5000764300,Chittenden,Chittenden County Regional Planning Commission,CCRPC,7065
Chittenden_SouthBurlington.geojson,South Burlington,5000766175,Chittenden,Chittenden County Regional Planning Commission,CCRPC,
